RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WAR,next-page,next-page-href,next-next-page,next-next-page-href
"192","Pablo Prigioni, PG","HOU/NY","67","17.9","-0.42","-0.30","-0.72","1.20","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/5/sort/RPM"
"285","Maurice Harkless, SF","ORL","45","15.0","-2.50","0.66","-1.84","0.22","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/8/sort/RPM"
"209","Jerrelle Benimon, PF","UTAH","2","1.5","-1.17","0.21","-0.96","0.00","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/6/sort/RPM"
"17","Tyson Chandler, C","DAL","75","30.5","1.04","3.54","4.58","9.99","","","",""
"327","Shavlik Randolph, PF","BOS/PHX","21","6.0","-2.58","0.02","-2.56","-0.02","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/9/sort/RPM"
"396","Furkan Aldemir, PF","PHI","41","13.2","-1.26","-2.29","-3.55","-0.41","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/10/sort/RPM"
"91","C.J. Miles, SG","IND","70","26.3","0.41","1.17","1.58","4.54","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/3/sort/RPM"
"54","Al-Farouq Aminu, SF","DAL","74","18.5","-0.26","2.93","2.67","4.32","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"115","Joel Anthony, C","DET","49","8.3","-1.82","2.68","0.86","0.80","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/3/sort/RPM"
"374","Marcus Thornton, SG","BOS/PHX","48","15.0","-1.42","-1.69","-3.11","-0.35","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/10/sort/RPM"
